"ireg1.ecov","ireg2.ecov","naive.ecov","rewt.ecov","ireg1.len","ireg2.len","naive.len","rewt.len"
1,0,1,1,1.16066861336912,0.711668331636581,3.14126352774085,1.33869547640022
1,0,1,1,1.16061158138034,0.806561880675439,3.33286337205944,1.39185023637892
1,0,1,1,1.15179557509529,0.774235682544973,3.37615142934521,1.25089407828529
1,0,1,1,1.11420302943264,0.672622423312425,3.16733171224147,1.20787646214617
1,0,1,1,1.1813713335763,0.80264229869535,2.78879622519701,1.22664473711713
1,0,1,1,1.09243196812133,0.752581635521913,3.20796782421128,1.38295866455116
1,0,1,1,1.18648854211437,0.669927921768998,3.24669906448002,1.47110988067108
1,0,1,1,1.10554567040187,0.720473073381179,2.97716865379652,1.32306389496128
1,0,1,1,1.09378032654631,0.683714280593559,3.01447162410155,1.16126926653539
1,0,1,1,1.17092192318391,0.726654715749449,2.87466530185944,1.25636317611656
1,0,1,1,1.21492863557096,0.841239470614367,3.5545412247961,1.38351784968388
1,0,1,1,1.21378035828086,0.789040445881937,2.84217395355999,1.2478591100861
1,0,1,1,1.08391953290981,0.749987891940938,3.00153221239765,1.3793194739672
1,0,1,1,1.09106748651476,0.728636229160486,3.388797657631,1.3355495219575
1,0,1,1,1.23769864648969,0.82316196858898,3.4259925958811,1.15112422148813
1,0,1,1,1.17100363697157,0.829544262170179,3.21920357775164,1.33550403962195
1,0,1,1,1.16424968748175,0.81423193971394,3.02922081076278,1.43577153800247
1,0,1,1,1.12614036178903,0.720308090320823,2.9143006017891,1.18326454949421
1,0,1,1,1.06788218966898,0.717397364036259,3.25074938896281,1.28910611601802
0,0,1,1,1.06996702503377,0.741858149951065,3.488625101599,1.15739811162997
1,0,1,1,1.02639212672298,0.689996563970878,2.60516290992325,1.40556290335632
1,0,1,1,1.20607966800508,0.762761553352003,3.24306731635721,1.20742710848232
1,0,1,1,1.23636100725876,0.731431459331638,3.06789142076207,1.23792563074023
1,0,1,1,1.02815347176514,0.686195963575026,3.23212584378847,1.33135169821906
1,0,1,1,1.13805798920813,0.758335925540317,3.26107488740094,1.48836702127182
1,0,1,1,1.07594849115089,0.716159397054417,2.95363518252148,1.1881864939788
1,0,1,1,1.05358682397662,0.73149263076996,3.00197141321072,1.16879377225082
1,0,1,1,1.05969807137624,0.657242217459116,3.25766637897825,1.32230961964533
1,0,1,1,1.10832567658247,0.740232585294272,3.58796798500393,1.3124127423993
1,0,1,0,1.13975764058895,0.683953406587682,3.12631323363164,1.29123388553456
1,0,1,1,1.11445175551692,0.678485065018648,3.06577595937625,1.40083532423994
1,0,1,1,1.11858563703282,0.758390050502226,3.121493480319,1.37439068226177
1,0,1,1,1.16391243378903,0.702604476905805,3.14922665372788,1.29648490864109
1,0,1,1,0.984666018760268,0.655931314037121,3.2848976674012,1.27387044216896
1,0,1,1,1.2346201746215,0.794750971084251,2.8353346039668,1.37736494666429
1,0,1,1,1.22114769989933,0.72731714720227,3.38670846779898,1.26958254865843
1,0,1,1,1.1836950956382,0.803440766717475,2.94084490296178,1.29284064893216
1,0,1,1,1.06584713634648,0.708583132780875,3.00398218134155,1.17297822188614
1,0,1,1,1.13737951838079,0.70468009892687,3.08134797270538,1.47522665833957
0,0,0,1,1.20841530146505,0.758978892289687,2.67542967996125,1.24259779436
1,0,1,1,1.15358004593866,0.676412637595208,3.34970541621841,1.35495503093591
1,0,1,1,1.08837538959962,0.69628020786132,3.03304886298792,1.22186685471125
1,0,1,1,1.16591060690799,0.715595376322365,3.40260343128812,1.33535927119123
1,0,1,1,0.998996609714969,0.754156983446304,2.98378788976444,1.37181473179589
1,0,1,1,1.07105979922279,0.75449279056589,3.08164089247103,1.17023544834426
1,0,1,0,1.14979328776616,0.752271414788547,3.02636208651695,1.29951461642064
1,0,1,1,1.1360983258176,0.809838348642717,3.20922631093401,1.35953321311185
1,0,1,1,1.10600184499596,0.72704016560219,2.98923836658704,1.30750731449124
1,0,1,1,1.12356256602177,0.70889487975533,3.08959664292114,1.25651722103591
1,0,1,1,1.04548776647923,0.657787060486656,2.85592888280096,1.2116092760375
1,0,1,1,1.11659476957978,0.727810673894182,2.97837884370109,1.34100193181902
0,0,1,1,1.05230335003042,0.746319698799622,3.40836882096586,1.24001021377685
1,0,1,1,1.08694351839767,0.744912528896098,2.98324072499879,1.233801591504
1,0,1,1,1.12828254869158,0.69714067681916,3.50459841621982,1.27052880546983
1,0,1,1,1.02847660135871,0.646750664191915,2.68462467325983,1.27531704609951
1,0,1,1,0.992693196651876,0.72291194267109,3.11632474492656,1.20657002839751
0,0,1,1,1.18657841496478,0.729984366882074,3.43029152081516,1.27101679097538
1,0,1,1,1.12601424004947,0.718216983911168,2.70136820661913,1.26379115936546
1,0,1,1,1.02686755706861,0.689961100902194,3.17439190270587,1.24796220434722
1,0,1,1,1.19796026340011,0.782483110964928,3.16117219258922,1.36599633369733
1,0,1,1,1.13669399260591,0.802768801223396,3.18894950918315,1.17104015423781
1,0,1,1,1.13654441207773,0.736972863489001,3.10139265736157,1.352526189786
1,0,1,1,1.1922322507922,0.746926490965153,3.2687477847292,1.2871124803528
1,0,1,1,1.1351745522402,0.739658692719811,2.68019160386131,1.11831381708022
1,0,1,1,1.10537763601454,0.724378424764275,3.34612782763134,1.36642850881867
1,0,1,1,1.14657363282884,0.713456676409254,2.91173586638306,1.21433587547321
1,0,1,1,1.11681334054263,0.744704591056535,3.19879594468633,1.30464565586924
1,0,1,1,1.09238066643766,0.748683630577377,3.0116015063826,1.28905464321268
1,0,1,1,1.09994834867381,0.708528815616292,2.88584343151504,1.19392538831842
1,0,1,1,0.992304038715727,0.622376228254698,2.73821831880064,1.27855352080782
1,0,1,1,1.09529441360744,0.656350662453808,2.81057982965643,1.34124317696232
1,0,1,1,1.0407399983733,0.666699667117758,2.98267949021951,1.25258429881296
1,0,1,1,1.10946412576392,0.714251969320943,3.32284121713539,1.33941234510689
0,0,0,1,1.1371100325662,0.701351919071429,2.7008662207539,1.2986864272638
1,0,1,1,1.15378020118201,0.720392015836772,3.15614595540852,1.32659555817553
1,0,1,1,1.16452208572467,0.664589710227732,3.07276579755661,1.39156588389398
1,0,1,1,1.13846854382355,0.745865643052682,3.22629945378027,1.23753596407031
1,0,1,1,1.13076980003817,0.679806984056996,2.81663079311263,1.32835539024921
1,0,1,1,1.14771241393503,0.802696890941756,3.18337670032929,1.27304751233312
1,0,1,1,1.11944660015743,0.708910590463049,3.0646867735989,1.25374136360155
1,0,1,1,1.08682540145648,0.662506563786865,3.33372154666539,1.34851307829288
1,0,1,1,1.25404139361057,0.729916310508051,3.49238477166402,1.28054911848803
1,0,1,1,1.11019542191357,0.67042434163165,2.61082509085679,1.3632962299979
1,0,1,1,1.08524122243455,0.75054271879584,2.98054720560149,1.21926386585588
1,0,1,1,1.12938139411837,0.698183570026773,3.09354257720565,1.26388651619326
1,0,1,1,1.11304767446803,0.681996540505577,3.05343294266345,1.16061526736983
1,0,1,1,1.04854303544318,0.690308457362398,2.99177028713977,1.22774903896285
1,0,1,1,1.03249660139818,0.743071374319786,2.97444127451548,1.20072030587658
1,0,1,1,1.1614312920106,0.760431732036067,3.46522075550131,1.40247307785942
1,0,1,1,1.10435017707097,0.726747574915875,2.87692424156251,1.2976026657666
1,0,1,1,1.08601736714371,0.686271384659173,3.18829109692187,1.1931577516439
1,0,1,1,1.10874983008444,0.72334774877783,3.06486624033364,1.3061499139075
1,0,1,1,1.0612264294035,0.720944327803047,2.70703697951949,1.18886917859337
1,0,1,1,1.14270601652317,0.64665254665107,2.98378591891077,1.34525703801977
1,0,1,1,1.14900532053493,0.668330246201498,3.00599291414948,1.26868402379428
1,0,1,1,1.17930838475452,0.768750088214476,3.51149126943995,1.45822756761392
1,0,1,1,1.12146945258556,0.701997780794213,3.01058497012594,1.23826520259757
1,0,1,1,1.08837176206273,0.670586695668593,2.94687691491468,1.21649073617972
1,0,1,1,1.16113284709353,0.818479151065833,3.40900259143999,1.15269232450478
1,0,1,1,1.11966407451048,0.730423896375183,2.97511434358543,1.25356671857931
1,0,1,1,1.13142212745243,0.67293241299855,3.47121645439151,1.35411622372507
1,0,1,1,1.0802823448115,0.644229346005295,2.76198995402807,1.50235064038847
1,0,1,1,1.1393417662558,0.643558978058894,2.89179447747276,1.23036831325769
1,0,1,1,1.15843347215332,0.734876125812405,2.55040510799078,1.30113471911759
1,0,1,1,1.0591353038294,0.673647561804659,3.23278709626027,1.39294960846353
1,0,1,1,1.14204501190749,0.764036697345053,3.12145277838445,1.18496783321268
1,0,1,1,1.07427218326268,0.73961186235478,2.83952408241485,1.16924776814119
1,0,1,1,1.00599342725351,0.719969952359828,3.3285378935915,1.19822761379129
1,0,1,1,1.12425357731501,0.65965609237913,2.78554976403544,1.24226656341273
1,0,1,1,1.08347386325609,0.716217460799245,3.18699485313871,1.25683647456692
0,0,1,1,1.16428509311447,0.721359629799819,3.32078030811221,1.23221823242402
1,0,1,1,1.23511876877878,0.766713941310383,3.29181114937486,1.29746845283642
1,0,1,1,1.1132243760235,0.685007947943333,2.91806608869478,1.32431471698248
1,0,1,1,1.14684670601628,0.731943176037907,2.9564372982311,1.28828239490965
1,0,1,1,1.17288668663001,0.847306480033241,3.33542953218794,1.33289362918074
1,0,1,1,1.06002088309213,0.727449098127805,2.98671045570138,1.16697791139079
1,0,1,1,1.14829677184958,0.728715654129027,3.1491043706397,1.48939489479564
1,0,1,1,1.11884734524034,0.724153274231669,3.11505467913321,1.35551369549563
1,0,1,1,1.13940504182889,0.718707500828546,3.23005916247802,1.28478257244359
1,0,1,1,1.06299558758476,0.680706353697686,2.99019667284393,1.29576226470192
1,0,1,1,1.02132299667322,0.744849470803463,3.11229070299354,1.33545486862103
1,0,1,1,1.12716406363718,0.732930096953988,3.4015771049198,1.34623480096855
1,0,1,1,1.08471926765764,0.701232363868119,3.25071636936423,1.23340572846841
1,0,1,1,1.19363623365215,0.721438738192798,3.15112401115075,1.34248814572879
